LEGACY_CURRENCY	CURRENCY	ISOCD	ALTWR	GDATU	XPRIMARY	CURRENCY_TXT_GBL	CURRENCY_TXT_LCL	DI_TIMESTAMP							
LBP	LBP	LBP	422	00000000	 	Lebanese Pound	Libanes. Pfund	2018.06.19 05:33:47							
LKR	LKR	LKR	144	00000000	 	Sri Lanka Rupee	Sri-Lanka-Rupie	2018.06.19 05:33:47							
LRD	LRD	LRD	430	00000000	 	Liberian Dollar	Liberia. Dollar	2018.06.19 05:33:47							
LSL	LSL	LSL	426	00000000	 	Lesotho Loti	Lesoth. Loti	2018.06.19 05:33:47							
LYD	LYD	LYD	434	00000000	 	Libyan Dinar	Libyscher Dinar	2018.06.19 05:33:47							
MAD	MAD	MAD	504	00000000	 	Moroccan Dirham	Marokk. Dirham	2018.06.19 05:33:47							
MDL	MDL	MDL	498	00000000	 	Moldavian Leu	Moldauisch. Leu	2018.06.19 05:33:47							
MGA	MGA	MGA	969	00000000	 	Madagasc.Ariary	Madagass.Ariary	2018.06.19 05:33:47							
MKD	MKD	MKD	807	00000000	 	Maced. Denar	Mazedon. Denar	2018.06.19 05:33:47							
MMK	MMK	MMK	104	00000000	 	Myanmar Kyat	Myanmar-Kyat	2018.06.19 05:33:47							
MNT	MNT	MNT	496	00000000	 	Mong. Tugrik	Mongol. Tögrög	2018.06.19 05:33:47							
MOP	MOP	MOP	446	00000000	 	Macao Pataca	Macao-Pataca	2018.06.19 05:33:47							
MRO	MRO	MRO	478	00000000	 	Maurit. Ouguiya	Ouguiya	2018.06.19 05:33:47							
MRU	MRU	MRU	929	00000000	 	Maurit. Ouguiya	Ouguiya	2018.06.19 05:33:47							
MUR	MUR	MUR	480	00000000	 	Mauritian Rupee	Mauritius-Rupie	2018.06.19 05:33:47							
MVR	MVR	MVR	462	00000000	 	Maldive Rufiyaa	Malediven-Rupie	2018.06.19 05:33:47							
MWK	MWK	MWK	454	00000000	 	Malawi Kwacha	Malawi-Kwacha	2018.06.19 05:33:47							
MXN	MXN	MXN	484	00000000	 	Mexican Pesos	Mexikan. Peso	2018.06.19 05:33:47							
MYR	MYR	MYR	458	00000000	 	Mal. Ringgit	Malai. Ringgit	2018.06.19 05:33:47							
MZN	MZN	MZN	943	00000000	 	Mozamb. Metical	Metical	2018.06.19 05:33:47							
NAD	NAD	NAD	516	00000000	 	Namibian Dollar	Namibia-Dollar	2018.06.19 05:33:47							
NGN	NGN	NGN	566	00000000	 	Nigerian Naira	Naira	2018.06.19 05:33:47							
NIO	NIO	NIO	558	00000000	 	Nicar. Cor. Oro	Nicar. Cordoba	2018.06.19 05:33:47							
NOK	NOK	NOK	578	00000000	 	Norwegian Krone	Norweg. Krone	2018.06.19 05:33:47							
NPR	NPR	NPR	524	00000000	 	Nepalese Rupee	Nepales. Rupie	2018.06.19 05:33:47							
NZD	NZD	NZD	554	00000000	 	N. Zeal. Dollar	Neuseel.-Dollar	2018.06.19 05:33:47							
OMR	OMR	OMR	512	00000000	 	Omani Rial	Omanischer Rial	2018.06.19 05:33:47							
PAB	PAB	PAB	590	00000000	 	Panam. Balboa	Panam. Balboa	2018.06.19 05:33:47							
PEN	PEN	PEN	604	00000000	 	Peruvian Sol	Peruan. Sol	2018.06.19 05:33:47							
PGK	PGK	PGK	598	00000000	 	Papua NG Kina	Papua-Neu.-Kina	2018.06.19 05:33:47							
PHP	PHP	PHP	608	00000000	 	Philippine Peso	Philippin. Peso	2018.06.19 05:33:47							
PKR	PKR	PKR	586	00000000	 	Pakistani Rupee	Pakistan. Rupie	2018.06.19 05:33:47							
PLN	PLN	PLN	985	00000000	 	Polish Zloty	Poln. Zloty	2018.06.19 05:33:47							
PYG	PYG	PYG	600	00000000	 	Parag. Guarani	Parag. Guaraní	2018.06.19 05:33:47							
QAR	QAR	QAR	634	00000000	 	Qatar Rial	Katar-Riyal	2018.06.19 05:33:47							
RON	RON	RON	946	00000000	 	Romanian Leu	Rumänischer Leu	2018.06.19 05:33:47							
RSD	RSD	RSD	941	00000000	 	Serbian Dinar	Serb. Dinar	2018.06.19 05:33:47							
RUB	RUB	RUB	643	00000000	 	Russian Ruble	Russisch. Rubel	2018.06.19 05:33:47							
RWF	RWF	RWF	646	00000000	 	Rwandan Franc	Ruanda-Franc	2018.06.19 05:33:47							
SAR	SAR	SAR	682	00000000	 	Saudi Riyal	Saudi-Rial	2018.06.19 05:33:47							
SBD	SBD	SBD	090	00000000	 	Sol.Isl. Dollar	Solomon.-Dollar	2018.06.19 05:33:47							
SCR	SCR	SCR	690	00000000	 	Seychel. Rupee	Seychell.-Rupie	2018.06.19 05:33:47							
SDG	SDG	SDG	938	00000000	 	Sudanese Pound	Sudanes. Pfund	2018.06.19 05:33:47							
SEK	SEK	SEK	752	00000000	 	Swedish Krona	Schwed. Krone	2018.06.19 05:33:47							
SGD	SGD	SGD	702	00000000	 	Sing. Dollar	Singapur-Dollar	2018.06.19 05:33:47							
SHP	SHP	SHP	654	00000000	 	St.Helena Pound	St.Helena-Pfund	2018.06.19 05:33:47							
SLL	SLL	SLL	694	00000000	 	Sierra L. Leone	Sierra-l. Leone	2018.06.19 05:33:47							
SOS	SOS	SOS	706	00000000	 	Soma. Shilling	Soma.-Schilling	2018.06.19 05:33:47							
SRD	SRD	SRD	968	00000000	 	Surinam Dollar	Suriname-Dollar	2018.06.19 05:33:47							
SSP	SSP	SSP	728	00000000	 	S. Sudan Pound	Südsudan. Pfund	2018.06.19 05:33:47							
STN	STN	STN	930	00000000	 	Sao Tome Dobra	Sao-tom. Dobra	2018.06.19 05:33:47							
SVC	SVC	SVC	222	00000000	 	El Salv. Colon	El-Salv.-Colon	2018.06.19 05:33:47							
SYP	SYP	SYP	760	00000000	 	Syrian Pound	Syrisches Pfund	2018.06.19 05:33:47							
SZL	SZL	SZL	748	00000000	 	Swaz. Lilangeni	Swas.-Lilangeni	2018.06.19 05:33:47							
THB	THB	THB	764	00000000	 	Thailand Baht	Thailänd. Baht	2018.06.19 05:33:47							
TJS	TJS	TJS	972	00000000	 	Tajik. Somoni	Tadsch. Somoni	2018.06.19 05:33:47							
TMT	TMT	TMT	934	00000000	 	Turkmen. Manat	Turkmen.-Manat	2018.06.19 05:33:47							
TND	TND	TND	788	00000000	 	Tunisian Dinar	Tunes. Dinar	2018.06.19 05:33:47							
TOP	TOP	TOP	776	00000000	 	Tongan Pa'anga	Tong. Paanga	2018.06.19 05:33:47							
TRY	TRY	TRY	949	00000000	 	Turkish Lira	Türkische Lira	2018.06.19 05:33:47							
TTD	TTD	TTD	780	00000000	 	T. + T. Dollar	TT-Dollar	2018.06.19 05:33:47							
TWD	TWD	TWD	901	00000000	 	Taiwan Dollar	Taiwan-Dollar	2018.06.19 05:33:47							
TZS	TZS	TZS	834	00000000	 	Tanz. Shilling	Tans.-Schilling	2018.06.19 05:33:47							
UAH	UAH	UAH	980	00000000	 	Ukraine Hryvnia	Ukrain. Hrywnja	2018.06.19 05:33:47							
UGX	UGX	UGX	800	00000000	 	Ugan. Shilling	Ugan.-Schilling	2018.06.19 05:33:47							
USD	USD	USD	840	00000000	 	US Dollar	US-Dollar	2018.06.19 05:33:47							
UYU	UYU	UYU	858	00000000	 	Uruguayan Peso	Uruguay. Peso	2018.06.19 05:33:47							
UZS	UZS	UZS	860	00000000	 	Uzbekistan Som	Usbekischer Som	2018.06.19 05:33:47							
VEF	VEF	VEF	937	00000000	 	Venez. Bolivar	Venez. Bolivar	2018.06.19 05:33:47							
VES	VES	VES	928	00000000	 	Bolivar	Bolivar Sober.	2018.06.19 05:33:47							
VND	VND	VND	704	00000000	 	Vietnamese Dong	Vietnames. Dong	2018.06.19 05:33:47							
VUV	VUV	VUV	548	00000000	 	Vanuatu Vatu	Vanuatu-Vatu	2018.06.19 05:33:47							
WST	WST	WST	882	00000000	 	Samoan Tala	Samoan. Tala	2018.06.19 05:33:47							
XAF	XAF	XAF	950	00000000	 	CFA Franc BEAC	CFA-Franc BEAC	2018.06.19 05:33:47							
XCD	XCD	XCD	951	00000000	 	E. Carrib. Doll	Ostkar. Dollar	2018.06.19 05:33:47							
XOF	XOF	XOF	952	00000000	 	CFA Franc BCEAO	CFA-Franc BCEAO	2018.06.19 05:33:47							
XPF	XPF	XPF	953	00000000	 	CFP Franc	CFP-Franc	2018.06.19 05:33:47							
YER	YER	YER	886	00000000	 	Yemeni Ryal	Jemen-Rial	2018.06.19 05:33:47							
ZAR	ZAR	ZAR	710	00000000	 	S. Africa Rand	Südafrik. Rand	2018.06.19 05:33:47							
ZMW	ZMW	ZMW	967	00000000	 	Zambian Kwacha	Samb. Kwacha	2018.06.19 05:33:47							
ZWL	ZWL	ZWL	932	00000000	 	Zimbabwe Dollar	Simbabwe-Dollar	2018.06.19 05:33:47							
