LEGACY_UNIT_OF_MEASUREMENT	UNIT_OF_MEASUREMENT	DIMENSION_KEY	EXT_UOM_COMM_FORM_TXT_GBL	EXT_UOM_COMM_FORM_TXT_LCL	DI_TIMESTAMP										
KJK	KJK	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
KJM	KJM	MOENER	Molar energy	Molare Energie	2017.07.06 08:56:49										
KM	KM	LENGTH	Length	Länge	2017.07.06 08:56:49										
KM2	KM2	SURFAC	Area	Fläche	2017.07.06 08:56:49										
KMH	KMH	SPEED	Speed	Geschwindigkeit	2017.07.06 08:56:49										
KMK	KMK	VPROPO	Volume proportion	Volumenverhältnis	2017.07.06 08:56:49										
KMN	KMN	TEMPRT	Rate of temp. change	Temper.änderungsrate	2017.07.06 08:56:49										
KMS	KMS	TEMPRT	Rate of temp. change	Temper.änderungsrate	2017.07.06 08:56:49										
KOH	KOH	RESIST	Elec. Resistance	Elektr. Widerstand	2017.07.06 08:56:49										
KPA	KPA	PRESS	Pressure	Druck	2017.07.06 08:56:49										
KT	KT	MASS	Mass	Masse	2017.07.06 08:56:49										
KV	KV	VOLTAG	Electrical Tension	Elektr. Spannung	2017.07.06 08:56:49										
KVA	KVA	POWER	Power	Leistung	2017.07.06 08:56:49										
KW	KW	POWER	Power	Leistung	2017.07.06 08:56:49										
KWH	KWH	ENERGY	Energy	Energie	2017.07.06 08:56:49										
KWK	KWK	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
KWM	KWM	PRESS	Pressure	Druck	2017.07.06 08:56:49										
L	L	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
L2	L2	VOLFLO	Volumetric Flow Rate	Volumenstrom	2017.07.06 08:56:49										
LB	LB	MASS	Mass	Masse	2017.07.06 08:56:49										
LBJ	LBJ	MASFLO	Mass Flow Rate	Massenstrom	2017.07.06 08:56:49										
LBm	LBm	MASFLO	Mass Flow Rate	Massenstrom	2017.07.06 08:56:49										
LE	LE	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
LHK	LHK	SURFAC	Area	Fläche	2017.07.06 08:56:49										
LM	LM	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
LMS	LMS	HYDROL	Hydrolysis Rate	Hydrolysegeschwind.	2017.07.06 08:56:49										
LPH	LPH	VOLFLO	Volumetric Flow Rate	Volumenstrom	2017.07.06 08:56:49										
M	M	LENGTH	Length	Länge	2017.07.06 08:56:49										
M%	M%	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
M%O	M%O	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
M/S	M/S	SPEED	Speed	Geschwindigkeit	2017.07.06 08:56:49										
M2	M2	SURFAC	Area	Fläche	2017.07.06 08:56:49										
M2I	M2I	SURINV	Inverse Surface Area	Inverse Fläche	2017.07.06 08:56:49										
M2S	M2S	VISKIN	Kinematic viscosity	Zähigkeit, kinemat.	2017.07.06 08:56:49										
M3	M3	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
M3D	M3D	VOLFLO	Volumetric Flow Rate	Volumenstrom	2017.07.06 08:56:49										
M3S	M3S	VOLFLO	Volumetric Flow Rate	Volumenstrom	2017.07.06 08:56:49										
MA	MA	ECURR	Electric Current	Elektr. Strom	2017.07.06 08:56:49										
MBA	MBA	PRESS	Pressure	Druck	2017.07.06 08:56:49										
MBT	MBT	ENERGY	Energy	Energie	2017.07.06 08:56:49										
MBZ	MBZ	STEXKZ	Dust explosion ratio	Staubexplosionskennz	2017.07.06 08:56:49										
MEJ	MEJ	ENERGY	Energy	Energie	2017.07.06 08:56:49										
MG	MG	MASS	Mass	Masse	2017.07.06 08:56:49										
MGF	MGF	MASSBD	Mass Coverage	Massenbedeckung	2017.07.06 08:56:49										
MGG	MGG	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
MGK	MGK	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
