LEGACY_COST_ELEMENT	CHART_OF_ACCOUNTS	COST_ELEMENT	COST_ELEMENT_TXT_GBL	COST_ELEMENT_TXT_LCL	DI_TIMESTAMP										
0070015000	YCOA	0070015000	STTLMT AUC TO CO	ABRECHNG AIB AUF CO	2017.07.06 08:56:49										
0070020000	YCOA	0070020000	REV FROM ASSET SALE	ERT. AUS ANLAGENABG.	2017.07.06 08:56:49										
0094305000	YCOA	0094305000	INDUSTRY EFFLUENT	INDUSTRIEABWASSER	2017.07.06 08:56:49										
0075009000	YCOA	0075009000	EXPORT DUTY	AUSFUHRZÖLLE	2017.07.06 08:56:49										
0094306000	YCOA	0094306000	ENVIRONMENTAL	UMWELTSCHUTZ	2017.07.06 08:56:49										
0094307000	YCOA	0094307000	INTERNAL TRANSPORT	INNERBETR. TRANSPORT	2017.07.06 08:56:49										
0094308000	YCOA	0094308000	CONSULTING	BERATUNG	2017.07.06 08:56:49										
0094308010	YCOA	0094308010	TRAINING	TRAINING	2017.07.06 08:56:49										
0094308020	YCOA	0094308020	QUALITYREVIEW	QUALITÄTSPRÜFUNG	2017.07.06 08:56:49										
0094309000	YCOA	0094309000	DEVELOPMENT	ENTWICKLUNG	2017.07.06 08:56:49										
0094310000	YCOA	0094310000	QM CONTROL	Q-PRÜFUNG	2017.07.06 08:56:49										
0094311000	YCOA	0094311000	PERS HRS	PERS.STD.	2017.07.06 08:56:49										
0052021000	YCOA	0052021000	LOSS CNSPT QM R&TR	AUFW VERBR QM R/H	2017.07.06 08:56:49										
0052023000	YCOA	0052023000	LOSS CNSPT QM SF&FIN	AUFW VERBR QM HF/FE	2017.07.06 08:56:49										
0052030000	YCOA	0052030000	LOSS REVALUATION	AUFWAND NEUBEWERTUNG	2017.07.06 08:56:49										
0052031000	YCOA	0052031000	LOSS VAL EXT PRD	AUFWAND UMBEW FREMD	2017.07.06 08:56:49										
0052033000	YCOA	0052033000	LOSS VAL OWN PRD	AUFWAND UMBEW EIGEN	2017.07.06 08:56:49										
0052041000	YCOA	0052041000	LOSS PRC VAR PRD	AUFW. PREISABW. WARE	2017.07.06 08:56:49										
0052041500	YCOA	0052041500	LOSS INV VAL ADJ EXT	AUFW.BSTWRTKORR.FRMD	2017.07.06 08:56:49										
0052042000	YCOA	0052042000	LOSS PRC DIF  (PRV)	AUFW PREISDIFF PRV	2017.07.06 08:56:49										
0052043000	YCOA	0052043000	LOSS PRC DIF  (PRY)	AUFWAND PRDIF. (PRY)	2017.07.06 08:56:49										
0052044000	YCOA	0052044000	LOSS PRC DIF  (LKW)	AUFWAND PRDIF. (LKW)	2017.07.06 08:56:49										
0052045000	YCOA	0052045000	LOSS PRICE DIFFERENC	AUFW PREISDIFF PRK	2017.07.06 08:56:49										
0094202000	YCOA	0094202000	QUALITY COSTS	QUALITÄTSKOSTEN	2017.07.06 08:56:49										
0094220000	YCOA	0094220000	COPA ASSESSMENT	CO-PA UMLAGE	2017.07.06 08:56:49										
0094221000	YCOA	0094221000	COPA ASSESSMENTS-OVE	CO-PA UMLAGEN - GMK	2017.07.06 08:56:49										
0094222000	YCOA	0094222000	COPA ASSESSMENTS-MAR	CO-PA UMLAGEN - MAR.	2017.07.06 08:56:49										
0094223000	YCOA	0094223000	COPA ASSESSMENTS-R&D	CO-PA UMLAGEN - F&E	2017.07.06 08:56:49										
0094224000	YCOA	0094224000	COPA ASSESSMENTS-ADM	CO-PA UMLAGEN VERW.	2017.07.06 08:56:49										
0094225000	YCOA	0094225000	COPA ASSESSMENTS-SAL	CO-PA UMLAGEN - VER.	2017.07.06 08:56:49										
0094226000	YCOA	0094226000	COPA ASSESSMENTS-NON	CO-PA UMLAGEN -NICHT	2017.07.06 08:56:49										
0061063000	YCOA	0061063000	DUES TO ASSOCIATIONS	BEITR WIVRB BRFVERTR	2017.07.06 08:56:49										
0061100000	YCOA	0061100000	PAYROLL EXP SALARIES	GEHÄLTER	2017.07.06 08:56:49										
0061101000	YCOA	0061101000	PAY OTHR SALARY EXP	SONST.GEHALTSAUFWAND	2017.07.06 08:56:49										
0061102000	YCOA	0061102000	PAY OTHER WAGE EXP	SONST. LOHNAUFWAND	2017.07.06 08:56:49										
0061103000	YCOA	0061103000	PAY EXP DIR LABOR CO	FERTIGUNGSLÖHNE	2017.07.06 08:56:49										
0061104000	YCOA	0061104000	PAYROLL EXPENSE INDI	HILFSLÖHNE	2017.07.06 08:56:49										
0061200000	YCOA	0061200000	PAY EXP TAX&SS WAGES	ARBEITGEBERANT LÖHNE	2017.07.06 08:56:49										
0061201000	YCOA	0061201000	PAY EXP TAX&SS SALRY	ARBEITGEBERANT GEHÄL	2017.07.06 08:56:49										
0061310000	YCOA	0061310000	INSS (DIRECT PRODUCT	INSS (FEK) (BR)	2017.07.06 08:56:49										
0061400000	YCOA	0061400000	TRAINING EDUCATION	FORT-/WEITERBILDUNG	2017.07.06 08:56:49										
0061401000	YCOA	0061401000	HR RECRUITEMENT	HR-PERSBESCHAFFUNG	2017.07.06 08:56:49										
0061500000	YCOA	0061500000	SALES COMMISSIONS	VERKÄUFERPROVISIONEN	2017.07.06 08:56:49										
0062000000	YCOA	0062000000	BAD DEBT EXPENSE	ABSCHR FORD UNEINBR	2017.07.06 08:56:49										
0062010000	YCOA	0062010000	IND VALUE ADJUSTMENT	EINZELWERTBERICHTIGG	2017.07.06 08:56:49										
0062020000	YCOA	0062020000	FLATRATE VAL ADJSTMT	PAUSCHALWERTBERICHTG	2017.07.06 08:56:49										
0063000000	YCOA	0063000000	MACH EQUIPM PERSER	MASCH./GER. P. SERV.	2017.07.06 08:56:49										
0063000500	YCOA	0063000500	QM CSPT EXTPRD W/ACT	VERBR QM FREMD KOA	2017.07.06 08:56:49										
0063001000	YCOA	0063001000	ELECTRICITY&UTILITIE	STROM- UND GASKOSTEN	2017.07.06 08:56:49										
0071010100	YCOA	0071010100	GAIN ASSET TRANSACTN	GEWINN ANLA.-ABGANG	2017.07.06 08:56:49										
0063002000	YCOA	0063002000	WATER	WASSER	2017.07.06 08:56:49										
0071010200	YCOA	0071010200	GAIN FROM WRITE UP	ERTRAG ZUSCHREIBUNG	2017.07.06 08:56:49										
0044003100	YCOA	0044003100	CUST SALESDED FOREIG	KD ERLÖSSCHMÄ. AUSL.	2017.07.06 08:56:49										
