LEGACY_GL_ACCOUNT_NUMBER	GL_ACCOUNT_NUMBER	CHART_OF_ACCOUNTS	GL_ACCOUNT_NUMBER_TXT_GBL	GL_ACCOUNT_NUMBER_TXT_LCL	DI_TIMESTAMP										
0012605914	0012605914	YCOA	Reverse Charge Account CGST (IN)	Reverse-Charge-Konto CGST (IN)	2018.06.19 05:33:47										
0012605915	0012605915	YCOA	Reverse Charge Account UTGST (IN)	Reverse-Charge-Konto UTGST (IN)	2018.06.19 05:33:47										
0012605916	0012605916	YCOA	Reverse Charge Account Compensation CESS (IN)	Reverse-Charge-Konto Ausgleich CESS (IN)	2018.06.19 05:33:47										
0012605917	0012605917	YCOA	Reverse Charge Account Import IGST (IN)	Reverse-Charge-Konto Import IGST (IN)	2018.06.19 05:33:47										
0012605918	0012605918	YCOA	Reverse Charge Account Import Comp. CESS (IN)	Reverse-Charge-Konto Import Augleich CESS (IN)	2018.06.19 05:33:47										
0012605919	0012605919	YCOA	Reverse Charge Account IGST Inv (IN)	Reverse-Charge-Konto IGST Bestand (IN)	2018.06.19 05:33:47										
0012605920	0012605920	YCOA	Reverse Charge Account SGST Inv (IN)	Reverse-Charge-Konto SGST Bestand (IN)	2018.06.19 05:33:47										
0012605921	0012605921	YCOA	Reverse Charge Account CGST Inv (IN)	Reverse-Charge-Konto CGST Bestand (IN)	2018.06.19 05:33:47										
0012605922	0012605922	YCOA	Reverse Charge Account UTGST Inv (IN)	Reverse-Charge-Konto UTGST Bestand (IN)	2018.06.19 05:33:47										
0012605923	0012605923	YCOA	Reverse Charge Account Compensation CESS Inv (IN)	Reverse-Charge-Konto Ausgleich CESS Bestand (IN)	2018.06.19 05:33:47										
0012605924	0012605924	YCOA	Reverse Charge Account Import IGST Inv (IN)	Reverse-Charge-Konto Import IGST Bestand (IN)	2018.06.19 05:33:47										
0012605925	0012605925	YCOA	Reverse Charge Account Import Comp. CESS Inv (IN)	Reverse-Charge-Konto Import Aus. CESS Bestand (IN)	2018.06.19 05:33:47										
0012606000	0012606000	YCOA	Deferred tax assets	Aktivische Rechnungsabgrenzungsposten für Steuern	2018.06.19 05:33:47										
0012606010	0012606010	YCOA	Deferred Input tax / Fixed assets VST	Latente Vorsteuer/Anlagen VST	2018.06.19 05:33:47										
0012608000	0012608000	YCOA	Tax Transference of Establishment	Steuer Transfer zwischen Betriebsstätte	2018.06.19 05:33:47										
0012609000	0012609000	YCOA	Deferred Input Tax > 0%	Latente Vorsteuer > 0 %	2018.06.19 05:33:47										
0012609020	0012609020	YCOA	Deferred Input Taxes 0%	Latente Vorsteuer 0 %	2018.06.19 05:33:47										
0012609100	0012609100	YCOA	Deferred Import input tax (VST)	Latente Einfuhrvorsteuer (VST)	2018.06.19 05:33:47										
0012609110	0012609110	YCOA	Deferred VAT for Down-Payments Issued (RU)	Latente USt für geleistete Anzahlungen (RU)	2018.06.19 05:33:47										
0012609111	0012609111	YCOA	VAT for Outgoing Export Operations (RU)	USt für ausgehende Exportgeschäfte (RU)	2018.06.19 05:33:47										
0012609112	0012609112	YCOA	VAT for Down-Payments Issued, Deduction (RU)	USt für geleistete Anzahlungen, Abzug (RU)	2018.06.19 05:33:47										
0012610000	0012610000	YCOA	Input Tax	Vorsteuer	2018.06.19 05:33:47										
0012610100	0012610100	YCOA	Domestic input VAT (reverse charge)	Vorsteuer Inland (Reverse Charge)	2018.06.19 05:33:47										
0012614000	0012614000	YCOA	Input Tax (ICx)	Vorsteuer (ICx)	2018.06.19 05:33:47										
