LEGACY_REGION	REGION	COUNTRY	REGION_TXT_GBL	REGION_TXT_LCL	DI_TIMESTAMP										
03	03	BD	Bogra	Bogra	2018.06.19 05:33:47										
03	03	BG	Varna	Varna	2018.06.19 05:33:47										
03	03	CU	La Habana	La Habana	2018.06.19 05:33:47										
03	03	CY	Larnaca	Larnaka	2018.06.19 05:33:47										
03	03	DM	Saint David	Saint David	2018.06.19 05:33:47										
03	03	DO	Baoruco	Baoruco	2018.06.19 05:33:47										
03	03	DZ	Laghouat	Laghouat	2018.06.19 05:33:47										
03	03	ES	Alicante	Alicante	2018.06.19 05:33:47										
03	03	FI	Southern Ostrobothni	Südösterbotten	2018.06.19 05:33:47										
03	03	FR	Allier	Allier	2018.06.19 05:33:47										
03	03	GD	Saint George	Saint George	2018.06.19 05:33:47										
03	03	HR	Sisacko-moslavacka	Sisacko-moslavacka 	2018.06.19 05:33:47										
03	03	IR	Ardabil	Ardabil	2018.06.19 05:33:47										
03	03	JM	Saint Thomas	Saint Thomas	2018.06.19 05:33:47										
03	03	JP	Iwate	Iwate	2018.06.19 05:33:47										
03	03	KE	Bungoma	Bungoma	2018.06.19 05:33:47										
03	03	KN	St George Basseterre	St George Basseterre	2018.06.19 05:33:47										
03	03	KP	North Pyongan	Nord-Pjöngjang	2018.06.19 05:33:47										
03	03	LI	Gamprin	Gamprin	2018.06.19 05:33:47										
03	03	MA	Fès- Meknès		2018.06.19 05:33:47										
03	03	ME	Berane	Berane	2018.06.19 05:33:47										
03	03	MM	Magway	Magway	2018.06.19 05:33:47										
03	03	MR	Assaba	Assaba	2018.06.19 05:33:47										
03	03	MT	Birgu	Birgu	2018.06.19 05:33:47										
03	03	MY	Kelantan	Kelantan	2018.06.19 05:33:47										
03	03	NO	Oslo	Oslo	2018.06.19 05:33:47										
03	03	NR	Anetan	Anetan	2018.06.19 05:33:47										
03	03	PH	Central Luzon	Central Luzon	2018.06.19 05:33:47										
03	03	RS	Severnobanatski dis.	Dst. Severnobanatski	2018.06.19 05:33:47										
03	03	RU	Buryat Republic	Republik Burjatien	2018.06.19 05:33:47										
03	03	RW	Northern	Northern	2018.06.19 05:33:47										
03	03	SA	Madinah	Medina	2018.06.19 05:33:47										
03	03	SM	Domagnano	Domagnano	2018.06.19 05:33:47										
03	03	TO	Niuas	Niuas	2018.06.19 05:33:47										
03	03	TR	Afyon	Afyon	2018.06.19 05:33:47										
03	03	TZ	Dodoma	Dodoma	2018.06.19 05:33:47										
03	03	VN	Hà Giang	Ha Giang	2018.06.19 05:33:47										
03	03	ZM	Eastern	Eastern	2018.06.19 05:33:47										
