LEGACY_UNIT_6_CHAR	UNIT_6_CHAR	UNIT_6_CHAR_TXT_GBL	UNIT_6_CHAR_TXT_LCL	DI_TIMESTAMP											
t/bbl	t/bbl	tbl	tbl	2017.07.06 08:56:49											
t/h	t/h	ToS	ToS	2017.07.06 08:56:49											
t/m3	t/m3	D41	D41	2017.07.06 08:56:49											
t/mth	t/mth	Tmt	Tmt	2017.07.06 08:56:49											
t/t	t/t	tt	tt	2017.07.06 08:56:49											
t/tm3	t/tm3	tm3	tm3	2017.07.06 08:56:49											
t/ton	t/ton	Tot	Tot	2017.07.06 08:56:49											
t/yr	t/yr	TJH	TJH	2017.07.06 08:56:49											
thou	thou	TH		2017.07.06 08:56:49											
to/ton	to/ton	tot	tot	2017.07.06 08:56:49											
ton	ton	TON	TON	2017.07.06 08:56:49											
ton/gl	ton/gl	tgl	tgl	2017.07.06 08:56:49											
ton/h	ton/h	toS	toS	2017.07.06 08:56:49											
ton/m	ton/m	tmt	tmt	2017.07.06 08:56:49											
ton/yr	ton/yr	tJH	tJH	2017.07.06 08:56:49											
ug/c2m	ug/c2m	PRM		2017.07.06 08:56:49											
val	val	VAL	VAL	2017.07.06 08:56:49											
yd	yd	YD	YD	2017.07.06 08:56:49											
yd2	yd2	YD2	YD2	2017.07.06 08:56:49											
yd3	yd3	YD3	YD3	2017.07.06 08:56:49											
yr	yr	JHR		2017.07.06 08:56:49											
°C	°C	GC	GC	2017.07.06 08:56:49											
°F	°F	FA	FA	2017.07.06 08:56:49											
µA	µA	B84	B84	2017.07.06 08:56:49											
µF	µF	4O	4O	2017.07.06 08:56:49											
µS/cm	µS/cm	V01	V01	2017.07.06 08:56:49											
µg/l	µg/l	UGL	UGL	2017.07.06 08:56:49											
µg/m3	µg/m3	GQ	GQ	2017.07.06 08:56:49											
µl	µl	4G	4G	2017.07.06 08:56:49											
µm	µm	MIM	MIM	2017.07.06 08:56:49											
µs	µs	MIS	MIS	2017.07.06 08:56:49											
