LEGACY_ADDRESS_NUMBER	ADDRESS_NUMBER	FROM_	ADDRESS_VERSION	ADDRESS_NUMBER_TXT_GBL	ADDRESS_NUMBER_TXT_LCL	DI_TIMESTAMP									
0000028531	0000028531	00010101	 			2017.07.06 08:56:49									
0000028532	0000028532	00010101	 			2017.07.06 08:56:49									
0000028533	0000028533	00010101	 			2017.07.06 08:56:49									
0000029955	0000029955	00010101	 			2017.07.06 08:56:49									
0000029958	0000029958	00010101	 			2017.07.06 08:56:49									
0000029960	0000029960	00010101	 			2017.07.06 08:56:49									
0000029961	0000029961	00010101	 			2017.07.06 08:56:49									
0000029972	0000029972	00010101	 			2017.07.06 08:56:49									
0000029974	0000029974	00010101	 			2017.07.06 08:56:49									
0000029975	0000029975	00010101	 			2017.07.06 08:56:49									
0000029978	0000029978	00010101	 			2017.07.06 08:56:49									
0000029981	0000029981	00010101	 			2017.07.06 08:56:49									
0000029983	0000029983	00010101	 			2017.07.06 08:56:49									
0000029984	0000029984	00010101	 			2017.07.06 08:56:49									
0000029987	0000029987	00010101	 			2017.07.06 08:56:49									
0000029990	0000029990	00010101	 			2017.07.06 08:56:49									
0000029992	0000029992	00010101	 			2017.07.06 08:56:49									
0000029993	0000029993	00010101	 			2017.07.06 08:56:49									
0000029996	0000029996	00010101	 			2017.07.06 08:56:49									
0000029998	0000029998	00010101	 			2017.07.06 08:56:49									
0000029999	0000029999	00010101	 			2017.07.06 08:56:49									
0000030004	0000030004	00010101	 			2017.07.06 08:56:49									
0000030007	0000030007	00010101	 			2017.07.06 08:56:49									
0000030009	0000030009	00010101	 			2017.07.06 08:56:49									
0000030010	0000030010	00010101	 			2017.07.06 08:56:49									
0000030013	0000030013	00010101	 			2017.07.06 08:56:49									
0000030298	0000030298	00010101	 			2017.07.06 08:56:49									
0000030299	0000030299	00010101	 			2017.07.06 08:56:49									
0000030318	0000030318	00010101	 			2017.07.06 08:56:49									
0000030327	0000030327	00010101	 			2017.07.06 08:56:49									
0000030328	0000030328	00010101	 			2017.07.06 08:56:49									
0000028780	0000028780	00010101	 			2017.07.06 08:56:49									
0000028783	0000028783	00010101	 			2017.07.06 08:56:49									
0000028786	0000028786	00010101	 			2017.07.06 08:56:49									
0000028797	0000028797	00010101	 			2017.07.06 08:56:49									
0000028798	0000028798	00010101	 			2017.07.06 08:56:49									
0000029816	0000029816	00010101	 			2017.07.06 08:56:49									
0000029819	0000029819	00010101	 			2017.07.06 08:56:49									
0000029848	0000029848	00010101	 			2017.07.06 08:56:49									
0000029850	0000029850	00010101	 			2017.07.06 08:56:49									
0000029851	0000029851	00010101	 			2017.07.06 08:56:49									
0000029854	0000029854	00010101	 			2017.07.06 08:56:49									
0000029949	0000029949	00010101	 			2017.07.06 08:56:49									
0000029951	0000029951	00010101	 			2017.07.06 08:56:49									
0000029952	0000029952	00010101	 			2017.07.06 08:56:49									
0000028631	0000028631	00010101	 			2017.07.06 08:56:49									
0000028799	0000028799	00010101	 			2017.07.06 08:56:49									
0000028632	0000028632	00010101	 			2017.07.06 08:56:49									
0000028633	0000028633	00010101	 			2017.07.06 08:56:49									
0000028634	0000028634	00010101	 			2017.07.06 08:56:49									
0000028635	0000028635	00010101	 			2017.07.06 08:56:49									
0000028636	0000028636	00010101	 			2017.07.06 08:56:49									
0000028637	0000028637	00010101	 			2017.07.06 08:56:49									
0000028638	0000028638	00010101	 			2017.07.06 08:56:49									
0000028639	0000028639	00010101	 			2017.07.06 08:56:49									
0000028640	0000028640	00010101	 			2017.07.06 08:56:49									
0000028641	0000028641	00010101	 			2017.07.06 08:56:49									
0000028642	0000028642	00010101	 			2017.07.06 08:56:49									
0000028643	0000028643	00010101	 			2017.07.06 08:56:49									
0000028644	0000028644	00010101	 			2017.07.06 08:56:49									
0000028645	0000028645	00010101	 			2017.07.06 08:56:49									
0000028646	0000028646	00010101	 			2017.07.06 08:56:49									
0000028647	0000028647	00010101	 			2017.07.06 08:56:49									
0000028648	0000028648	00010101	 			2017.07.06 08:56:49									
0000028649	0000028649	00010101	 			2017.07.06 08:56:49									
0000028650	0000028650	00010101	 			2017.07.06 08:56:49									
0000028651	0000028651	00010101	 			2017.07.06 08:56:49									
